id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_value,occupancy_percent,price_group
50848389,26963067,t,Highland,39.76417,-105.01563,Entire rental unit,Entire home/apt,5,1.0,2.0,132.0,255,33660.0,4.88,100.0,<=300
51068540,401251189,t,Highland,39.757935,-105.01548,Entire condo,Entire home/apt,3,1.5,1.0,136.0,255,34680.0,4.77,100.0,<=300
51129956,25330430,t,Ruby Hill,39.68646,-105.01198,Entire guesthouse,Entire home/apt,2,1.0,1.0,126.0,255,32130.0,4.84,100.0,<=300
51363929,76189229,t,Five Points,39.74982,-104.98457,Entire townhouse,Entire home/apt,4,1.5,2.0,182.0,168,30576.0,4.85,65.88235294117646,<=300
51465296,28353582,f,Barnum West,39.72397,-105.05212,Entire home,Entire home/apt,6,2.0,3.0,145.0,255,36975.0,4.66,100.0,<=300
51574411,417802010,f,Five Points,39.76109,-104.98013,Entire home,Entire home/apt,8,2.5,3.0,175.0,255,44625.0,4.94,100.0,<=300
51735228,72164908,t,Berkeley,39.77268,-105.0421,Entire home,Entire home/apt,6,2.5,3.0,296.0,154,45584.0,4.93,60.3921568627451,<=300
51744912,90147454,t,Cheesman Park,39.73141,-104.97265,Entire home,Entire home/apt,4,1.0,1.0,129.0,255,32895.0,4.91,100.0,<=300
51924448,28004543,t,City Park West,39.74798,-104.97164,Entire townhouse,Entire home/apt,6,2.5,2.0,243.0,255,61965.0,4.86,100.0,<=300
51957585,23167374,t,Jefferson Park,39.75578,-105.02336,Entire guesthouse,Entire home/apt,4,1.0,1.0,135.0,255,34425.0,4.92,100.0,<=300
52207601,12754928,t,Sunnyside,39.77703,-105.01366,Entire bungalow,Entire home/apt,4,2.0,2.0,175.0,174,30450.0,5.0,68.23529411764706,<=300
52411229,261774896,t,Union Station,39.7549,-105.00097,Entire rental unit,Entire home/apt,2,1.0,1.0,232.0,182,42224.0,4.53,71.37254901960785,<=300
52429527,107279139,t,Five Points,39.7579085,-104.9848531,Entire townhouse,Entire home/apt,8,2.5,3.0,232.0,255,59160.0,4.71,100.0,<=300
52586350,18675205,t,Five Points,39.75551,-104.97655,Entire guesthouse,Entire home/apt,4,1.0,1.0,124.0,255,31620.0,4.87,100.0,<=300
52667063,39090821,t,West Colfax,39.74024174438165,-105.02893679887416,Entire townhouse,Entire home/apt,7,3.5,3.0,193.0,255,49215.0,4.9,100.0,<=300
